seed,beta,duration,heartbeats_sent,heartbeats_delivered,false_elections,safety_violations,availability
21,0.30000000000000004,10.0,764,652,0,191,1.0
21,0.35000000000000003,10.0,752,617,0,196,1.0
21,0.4,10.0,736,582,0,159,1.0
21,0.45,10.0,716,548,0,150,1.0
21,0.5,10.0,696,514,0,151,1.0
21,0.55,10.0,672,480,0,127,1.0
21,0.6000000000000001,10.0,644,446,1,135,0.17898255286361786
21,0.65,10.0,608,410,1,140,0.15991404151083233
21,0.7000000000000001,10.0,572,374,1,119,0.14840406831751218
21,0.75,10.0,532,337,4,107,0.1379997967969393
21,0.8,10.0,484,298,4,94,0.1303483339027205
21,0.8500000000000001,10.0,424,254,4,76,0.12208954683856277
21,0.9,10.0,352,205,4,57,0.11531447062129307
22,0.0,10.0,804,715,0,195,1.0
22,0.05,10.0,800,754,0,283,1.0
22,0.1,10.0,800,791,0,277,1.0
22,0.15000000000000002,10.0,792,763,0,216,1.0
22,0.2,10.0,784,726,0,214,1.0
22,0.25,10.0,776,688,0,191,1.0
22,0.30000000000000004,10.0,764,652,0,194,1.0
22,0.35000000000000003,10.0,752,617,0,186,1.0
22,0.4,10.0,736,582,0,156,1.0
22,0.45,10.0,716,548,0,158,1.0
22,0.5,10.0,696,514,0,141,1.0
22,0.55,10.0,672,480,0,131,1.0
22,0.6000000000000001,10.0,644,445,1,151,0.17901952138306387
22,0.65,10.0,608,410,1,133,0.15992168211815483
22,0.7000000000000001,10.0,572,374,1,124,0.14840765762334684
22,0.75,10.0,532,337,4,79,0.13800692234585177
22,0.8,10.0,484,298,4,80,0.13037301696818582
22,0.8500000000000001,10.0,424,254,4,81,0.12209637938278828
22,0.9,10.0,352,205,4,54,0.11531901582673965
23,0.0,10.0,804,715,0,213,1.0
23,0.05,10.0,800,754,0,331,1.0
23,0.1,10.0,800,791,0,289,1.0
23,0.15000000000000002,10.0,792,763,0,191,1.0
23,0.2,10.0,784,726,0,187,1.0
23,0.25,10.0,776,688,0,181,1.0
23,0.30000000000000004,10.0,764,652,0,197,1.0
23,0.35000000000000003,10.0,752,617,0,188,1.0
23,0.4,10.0,736,582,0,179,1.0
23,0.45,10.0,716,548,0,162,1.0
23,0.5,10.0,696,514,0,162,1.0
23,0.55,10.0,672,480,0,110,1.0
23,0.6000000000000001,10.0,640,444,1,134,0.17907980034877424
23,0.65,10.0,608,410,1,120,0.1599267985726639
23,0.7000000000000001,10.0,572,374,1,127,0.1484116686762127
23,0.75,10.0,532,337,4,126,0.13800817229825135
23,0.8,10.0,480,297,4,103,0.13040265001786255
23,0.8500000000000001,10.0,424,254,4,79,0.12209577172903097
23,0.9,10.0,352,205,4,58,0.11531619058647757
24,0.0,10.0,800,714,0,214,1.0
24,0.05,10.0,800,754,0,306,1.0
24,0.1,10.0,796,790,0,270,1.0
24,0.15000000000000002,10.0,792,763,0,213,1.0
24,0.2,10.0,784,726,0,188,1.0
24,0.25,10.0,776,688,0,208,1.0
24,0.30000000000000004,10.0,764,652,0,186,1.0
24,0.35000000000000003,10.0,752,617,0,182,1.0
24,0.4,10.0,736,582,0,152,1.0
24,0.45,10.0,716,548,0,149,1.0
24,0.5,10.0,696,514,0,159,1.0
24,0.55,10.0,672,480,0,149,1.0
24,0.6000000000000001,10.0,640,444,1,115,0.17902908767019832
24,0.65,10.0,608,410,1,123,0.15992503225916188
24,0.7000000000000001,10.0,572,374,1,120,0.1484114945080528
24,0.75,10.0,532,337,4,107,0.13800566988368657
24,0.8,10.0,480,297,4,100,0.13035085105861466
24,0.8500000000000001,10.0,424,254,4,72,0.1220934754337204
24,0.9,10.0,352,205,4,63,0.11531576211718142
25,0.0,10.0,804,715,0,206,1.0
25,0.05,10.0,800,754,0,293,1.0
25,0.1,10.0,800,791,0,255,1.0
25,0.15000000000000002,10.0,792,763,0,195,1.0
25,0.2,10.0,784,726,0,195,1.0
25,0.25,10.0,776,688,0,208,1.0
25,0.30000000000000004,10.0,764,652,0,188,1.0
25,0.35000000000000003,10.0,752,617,0,169,1.0
25,0.4,10.0,736,582,0,147,1.0
25,0.45,10.0,716,548,0,169,1.0
25,0.5,10.0,696,514,0,146,1.0
25,0.55,10.0,672,480,0,151,1.0
25,0.6000000000000001,10.0,644,445,1,137,0.17897306477485075
25,0.65,10.0,608,410,1,129,0.15991886366487118
25,0.7000000000000001,10.0,572,374,1,117,0.14840248932165478
25,0.75,10.0,532,337,4,123,0.13800146628339927
25,0.8,10.0,484,298,4,99,0.13034618582079904
25,0.8500000000000001,10.0,424,254,4,76,0.12208680192667543
25,0.9,10.0,352,205,4,51,0.11531450252184516
26,0.0,10.0,804,715,0,186,1.0
26,0.05,10.0,800,754,0,315,1.0
26,0.1,10.0,800,791,0,264,1.0
26,0.15000000000000002,10.0,792,763,0,217,1.0
26,0.2,10.0,784,726,0,194,1.0
26,0.25,10.0,776,688,0,175,1.0
26,0.30000000000000004,10.0,764,652,0,189,1.0
26,0.35000000000000003,10.0,752,617,0,199,1.0
26,0.4,10.0,736,582,0,163,1.0
26,0.45,10.0,716,548,0,170,1.0
26,0.5,10.0,696,514,0,156,1.0
26,0.55,10.0,672,480,0,161,1.0
26,0.6000000000000001,10.0,644,445,1,120,0.17903888886339936
26,0.65,10.0,608,410,1,117,0.15992294926936368
26,0.7000000000000001,10.0,572,374,1,118,0.14841483996578853
26,0.75,10.0,532,337,4,94,0.13801016495277718
26,0.8,10.0,484,297,4,101,0.13039857694759927
26,0.8500000000000001,10.0,424,254,4,68,0.12209661978740483
26,0.9,10.0,352,205,4,60,0.1153188345780084
27,0.0,10.0,804,715,0,194,1.0
